"Collider ?
Collidee ?"	ST_PLAYER_WALKING	ST_PLAYER_CHARGING	ST_PLAYER_FIREBALL	ST_ARROW	ST_REFLECT_ARROW	ST_ROCK	ST_PLAYER_RISING	ST_PLAYER_LOWERING	ST_PLAYER_STOMPING	ST_PLAYER_FREEFALL	ST_HUMAN_WALKING	ST_HUMAN_TAILSTRUCK	ST_HUMAN_BURNED	
ST_WALL	SLIDE	"REFLECT,BOUNCE(16)"	DISAPPEAR	DISAPPEAR	REFLECT	DISAPPEAR	N/A	N/A	N/A	REFLECT	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_TREE_INTACT	SLIDE	"REFLECT,BOUNCE(16)"	"DISAPPEAR,DESTROY"	DISAPPEAR	REFLECT	DISAPPEAR	N/A	N/A	N/A	REFLECT	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_STONE_INTACT	SLIDE	"REFLECT,DESTROY"	DISAPPEAR	DISAPPEAR	REFLECT	DISAPPEAR	N/A	N/A	N/A	REFLECT	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_WATER	SLIDE	SLIDE	PASS	PASS	PASS	PASS	N/A	N/A	N/A	STOP	SLIDE	STOP	SLIDE	
ST_ITEM	TAKE	TAKE	PASS	PASS	PASS	PASS	N/A	TAKE	N/A	TAKE	PASS	PASS	PASS	
ST_FIRE_BREATH	N/A	N/A	PASS	PASS	PASS	PASS	N/A	N/A	N/A	N/A	"GET_BURNED,GET_HURT(10)"	"GET_BURNED,GET_HURT(10)"	"GET_BURNED,GET_HURT(10)"	
ST_ICE_BREATH	N/A	N/A	PASS	PASS	PASS	PASS	N/A	N/A	N/A	N/A	GET_FROZEN	GET_FROZEN	GET_FROZEN	
ST_PLAYER_FIREBALL	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	PASS	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	
ST_PLAYER_WALKING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_PLAYER_CHARGING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_PLAYER_STANDING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_PLAYER_RISING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_PLAYER_FLYING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	N/A	"REFLECT,GET_HURT(10)"	N/A	
ST_PLAYER_LOWERING	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,GET_HURT(10)"	SLIDE	
ST_PLAYER_FREEFALL	N/A	N/A	PASS	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	"DISAPPEAR,DAMAGE(10)"	N/A	N/A	N/A	N/A	SLIDE	"REFLECT,REFLECT_TARGET,GET_HURT(10)"	SLIDE	
ST_ARROW	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	PASS	PASS	PASS	PASS	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	"PASS,DESTROY,GET_HURT(10)"	"PASS,DESTROY"	"PASS,DESTROY"	"PASS,DESTROY"	
ST_REFLECT_ARROW	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	PASS	PASS	PASS	PASS	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	"DESTROY,GET_HURT(10)"	"PASS,DESTROY,GET_HURT(10)"	"PASS,DESTROY"	"PASS,DESTROY"	"PASS,DESTROY"	
